date,S&P Aerospace & Defense Select Industry Index
1/10/2023,17422.18
1/11/2023,17613.85
1/12/2023,17862.4
1/13/2023,17835
1/17/2023,17853.4
1/18/2023,17462.7
1/19/2023,17194.64
1/20/2023,17390.16
1/23/2023,17586.24
1/24/2023,17753.04
1/25/2023,17809.2
1/26/2023,17986.76
1/27/2023,18102.24
1/30/2023,18000.71
1/31/2023,18277.81
2/1/2023,18446.16
2/2/2023,18593.78
2/3/2023,18399.61
2/6/2023,18368.81
2/7/2023,18600.38
2/8/2023,18391.12
2/9/2023,18125.75
2/10/2023,18237.6
2/13/2023,18458.49
2/14/2023,18612.24
2/15/2023,18811.75
2/16/2023,18594.75
2/17/2023,18689.2
2/21/2023,18339.07
2/22/2023,18431.26
2/23/2023,18473.04
2/24/2023,18392.07
2/27/2023,18419.13
2/28/2023,18348.67
3/1/2023,18348.27
3/2/2023,18552.85
3/3/2023,18773.25
3/6/2023,18612.54
3/7/2023,18519.38
3/8/2023,18468.43
3/9/2023,18090.51
3/10/2023,17812.88
3/13/2023,17640.22
3/14/2023,17844.81
3/15/2023,17418.57
3/16/2023,17644.77
3/17/2023,17191.18
3/20/2023,17405.63
3/21/2023,17653.97
3/22/2023,17329.04
3/23/2023,17300.32
3/24/2023,17469.29
3/27/2023,17629.92
3/28/2023,17715.63
3/29/2023,17939.95
3/30/2023,17973.67
3/31/2023,18077.87
4/3/2023,18247.32
4/4/2023,18015.65
4/5/2023,17824.54
4/6/2023,17795.06
4/10/2023,18050.92
4/11/2023,18076.8
4/12/2023,18099.82
4/13/2023,18241.02
4/14/2023,17844.15
4/17/2023,18005.89
4/18/2023,18151.68
4/19/2023,18086.31
4/20/2023,18036.45
4/21/2023,17918.8
4/24/2023,17890.57
4/25/2023,17663.32
4/26/2023,17356.67
4/27/2023,17589.31
4/28/2023,17701.95
5/1/2023,17768.7
5/2/2023,17765.11
5/3/2023,17568.75
5/4/2023,17283.74
5/5/2023,17479.78
5/8/2023,17474.71
5/9/2023,17665.16
5/10/2023,17591.88
5/11/2023,17487.52
5/12/2023,17431.41
5/15/2023,17671.8
5/16/2023,17565.01
5/17/2023,17942.85
5/18/2023,18028.87
5/19/2023,17893
5/22/2023,18137.74
5/23/2023,17802.01
5/24/2023,17567.79
5/25/2023,17276.19
5/26/2023,17245.22
5/30/2023,17244.29
5/31/2023,17123.92
6/1/2023,17407.83
6/2/2023,17840.67
6/5/2023,17683.43
6/6/2023,17932.73
6/7/2023,18264.31
6/8/2023,18385.36
6/9/2023,18311.06
6/12/2023,18458.67
6/13/2023,18552.4
6/14/2023,18448.88
6/15/2023,18505.63
6/16/2023,18614.04
6/20/2023,18819.57
6/21/2023,18971.94
6/22/2023,18625.72
6/23/2023,18235.03
6/26/2023,18175
6/27/2023,18461.81
6/28/2023,18590.15
6/29/2023,18781.34
6/30/2023,18800.13
7/3/2023,18796.92
7/5/2023,18781.99
7/6/2023,18542.48
7/7/2023,18580.36
7/10/2023,18795.34
7/11/2023,18984.01
7/12/2023,18921.89
7/13/2023,18997.85
7/14/2023,18713.66
7/17/2023,18908.78
7/18/2023,18944.52
7/19/2023,18855.99
7/20/2023,19033.7
7/21/2023,18920.27
7/24/2023,18923.51
7/25/2023,18882.2
7/26/2023,19007.62
7/27/2023,18857.79
7/28/2023,19003.36
7/31/2023,19341.26
8/1/2023,19341.42
8/2/2023,18818.97
8/3/2023,18751.35
8/4/2023,18897.55
8/7/2023,19074.77
8/8/2023,18910.96
8/9/2023,18938.98
8/10/2023,18829.48
8/11/2023,18889.83
8/14/2023,18864.63
8/15/2023,18521.28
8/16/2023,18439.35
8/17/2023,18275.47
8/18/2023,18456.64
8/21/2023,18522.55
8/22/2023,18637.23
8/23/2023,18748.15
8/24/2023,18336.55
8/25/2023,18392.07
8/28/2023,18667.3
8/29/2023,18763.87
8/30/2023,18906.58
8/31/2023,18853.03
9/1/2023,18913.52
9/5/2023,18565.62
9/6/2023,18489.96
9/7/2023,18390.85
9/8/2023,18216.51
9/11/2023,18122.49
9/12/2023,18026.16
9/13/2023,17919.94
